    v1     v2     v3     v4  Label
-0.0913 -0.6277 0.4387 0.9071 2.0000
0.9033 -0.8610 0.9211 -0.9955 1.0000
0.0320 -1.0484 0.4306 -0.2530 3.0000
-0.6037 -1.4837 0.3426 -0.4160 1.0000
0.4758 -0.6094 0.8887 0.1794 1.0000
-0.8898 -1.6335 0.5769 -0.3805 3.0000
-0.7022 -1.1557 0.5127 0.4918 2.0000
-0.4529 -1.2097 0.2896 0.0256 3.0000
-0.0080 -1.0572 0.7240 -0.2195 3.0000
0.6838 -0.6605 0.1455 -0.2240 1.0000
-0.1445 -1.2612 0.0700 -0.5153 1.0000
0.7025 -0.7919 0.4655 -0.5596 1.0000
0.6700 -0.5522 0.6315 0.0504 1.0000
0.6817 -0.3225 0.9742 0.5764 2.0000
-0.0020 -1.1041 0.2643 -0.3383 1.0000
-0.9891 -1.2261 0.0833 0.7156 2.0000
-0.4573 -1.0075 0.1313 0.5085 2.0000
-0.5796 -1.3629 0.6724 -0.1638 1.0000
0.1102 -0.4881 0.1804 0.9625 2.0000
-0.1008 -1.2283 0.5415 -0.4972 1.0000
-0.6675 -1.1358 0.0719 0.4917 2.0000
0.0941 -1.0841 0.7695 -0.4217 3.0000
-0.1891 -1.2275 0.2214 -0.3753 1.0000
0.8926 -0.0617 0.8193 0.9050 2.0000
-0.5313 -1.4134 0.1144 -0.3486 3.0000
-0.6275 -1.2142 0.5810 0.2523 3.0000
-0.4705 -1.4335 0.7177 -0.4787 1.0000
0.4709 -0.4811 0.4690 0.4887 1.0000
-0.3007 -1.1765 0.2289 -0.1032 3.0000
0.5367 -0.3338 0.3704 0.7468 2.0000
-0.7850 -1.2123 0.4537 0.4708 2.0000
0.5687 -0.3709 0.5793 0.6158 1.0000
-0.3147 -0.8933 0.3517 0.5842 2.0000
0.8655 -0.1757 0.1096 0.6728 2.0000
-0.2864 -1.3929 0.5480 -0.6333 1.0000
0.8778 -0.2894 0.2716 0.3878 1.0000
0.9031 -0.7034 0.4268 -0.6234 1.0000
-0.5682 -1.5637 0.1429 -0.6530 1.0000
-0.0995 -1.0405 0.1768 -0.0556 3.0000
-0.6092 -1.4788 0.9619 -0.3970 1.0000
0.7557 -0.3102 0.4163 0.5047 2.0000
0.0335 -0.7608 0.6869 0.4232 2.0000
0.7440 -0.3211 0.0220 0.4950 1.0000
-0.6183 -1.1845 0.9905 0.3098 3.0000
-0.2178 -0.8620 0.8169 0.5261 2.0000
0.2461 -1.1834 0.4734 -0.8627 1.0000
0.3286 -0.5982 0.7580 0.4059 1.0000
-0.3166 -1.1495 0.2308 -0.0179 3.0000
-0.1781 -0.9981 0.6611 0.1512 3.0000
0.1196 -1.1732 0.4526 -0.6666 1.0000
-0.1887 -1.4409 0.5979 -0.8791 1.0000
0.9999 -0.1958 0.6225 0.4426 1.0000
-0.3062 -1.0546 0.1712 0.1919 3.0000
-0.0189 -1.2201 0.9450 -0.5891 1.0000
-0.5602 -0.9492 0.2331 0.7861 2.0000
0.4840 -0.3823 0.2774 0.7040 2.0000
-0.4156 -1.1045 0.5754 0.2230 3.0000
-0.2573 -0.9782 0.6977 0.3058 1.0000
-0.5577 -1.1139 0.8905 0.3940 3.0000
0.3651 -1.0495 0.7903 -0.7086 1.0000
0.9865 -0.3729 0.2504 0.0432 1.0000
0.7381 -0.2753 0.6723 0.6111 1.0000
-0.4235 -0.9209 0.3082 0.6669 2.0000
-0.6690 -1.4119 0.8008 -0.1578 2.0000
-0.9211 -1.4386 0.9647 0.1218 3.0000
-0.9557 -1.4371 0.8534 0.1723 2.0000
-0.2984 -1.0154 0.8871 0.2739 3.0000
0.3446 -1.1409 0.2784 -0.8964 1.0000
0.6514 -0.6843 0.7648 -0.2362 1.0000
-0.3492 -1.0525 0.1978 0.2555 3.0000
-0.2838 -0.8067 0.9278 0.7465 2.0000
-0.9640 -1.5397 0.8911 -0.0583 1.0000
-0.9953 -1.6866 0.9898 -0.3623 1.0000
0.2315 -0.6145 0.6715 0.4995 1.0000
-0.2586 -1.4612 0.3031 -0.8320 1.0000
-0.2802 -1.1287 0.4835 -0.0182 3.0000
0.5341 -0.6671 0.3094 -0.0361 1.0000
-0.9053 -1.1074 0.2831 0.8818 2.0000
0.6599 -0.6410 0.7166 -0.1456 1.0000
0.5564 -0.2969 0.6547 0.8072 2.0000
-0.0204 -0.9696 0.7732 0.0040 3.0000
-0.1462 -0.9481 0.2176 0.2256 3.0000
-0.0393 -1.0939 0.8737 -0.2636 1.0000
-0.0047 -0.6863 0.4810 0.6512 2.0000
-0.3769 -0.8899 0.9194 0.6766 2.0000
-0.2339 -1.4930 0.0895 -0.9408 1.0000
-0.9915 -1.7101 0.0513 -0.4229 1.0000
-0.7644 -1.1329 0.3200 0.6302 2.0000
-0.9716 -1.1684 0.8960 0.8280 2.0000
-0.9336 -1.3351 0.8017 0.3831 2.0000
0.4772 -1.0247 0.1762 -0.8024 1.0000
0.8597 -0.0873 0.0484 0.8894 2.0000
-0.6615 -1.5916 0.1150 -0.5920 1.0000
-0.9983 -1.6609 0.9972 -0.2977 2.0000
-0.5369 -1.3438 0.5557 -0.1767 3.0000
-0.3380 -1.1264 0.6785 0.0657 3.0000
-0.5361 -1.3066 0.8907 -0.0900 3.0000
-0.1359 -1.2864 0.7802 -0.5865 1.0000
0.9333 -0.1521 0.6258 0.6363 2.0000
-0.8531 -1.8110 0.7959 -0.8493 1.0000
-0.8679 -1.3399 0.9145 0.2825 2.0000
0.9864 -0.7373 0.0881 -0.8167 1.0000
0.1119 -0.8960 0.6835 -0.0022 1.0000
0.3905 -0.4740 0.4891 0.6147 2.0000
-0.8138 -1.3686 0.1472 0.1413 2.0000
0.9445 -0.3940 0.5503 0.0503 1.0000
-0.3224 -1.1564 0.0241 -0.0263 3.0000
0.4533 -0.8696 0.0789 -0.4041 1.0000
0.8174 -0.1798 0.6010 0.7284 2.0000
0.2716 -0.7141 0.2799 0.2099 2.0000
0.2633 -0.4481 0.5191 0.8489 2.0000
-0.0027 -0.8989 0.9655 0.1468 1.0000
-0.1013 -1.1584 0.8481 -0.3316 3.0000
-0.7145 -1.4482 0.9906 -0.1815 2.0000
-0.1581 -1.0170 0.7280 0.0793 3.0000
0.8209 -0.9024 0.9702 -0.9811 1.0000
-0.8247 -1.8534 0.6359 -0.9879 1.0000
-0.3163 -1.4448 0.4861 -0.7149 1.0000
0.7869 -0.3235 0.2034 0.4309 2.0000
-0.3046 -0.9155 0.5934 0.5180 2.0000
-0.8679 -1.7137 0.2755 -0.5996 1.0000
-0.2099 -0.9170 0.1800 0.3858 3.0000
0.1939 -1.0703 0.7009 -0.5248 1.0000
-0.0165 -0.9925 0.2504 -0.0552 3.0000
0.5337 -0.9870 0.7278 -0.7904 1.0000
-0.2152 -1.0619 0.2747 0.0511 3.0000
-0.2572 -1.1919 0.8586 -0.1986 3.0000
0.6047 -0.6871 0.0518 -0.1792 1.0000
0.1801 -0.8008 0.6244 0.1296 1.0000
0.2142 -0.4320 0.2550 0.9535 2.0000
-0.3307 -1.0111 0.8138 0.3279 2.0000
-0.4459 -1.3104 0.2887 -0.2216 3.0000
0.6271 -0.9876 0.0922 -0.9186 1.0000
-0.3415 -1.2822 0.6294 -0.2971 1.0000
0.7143 -0.3992 0.2267 0.3509 1.0000
-0.4588 -1.1383 0.6605 0.2020 3.0000
0.8263 -0.1339 0.1188 0.8247 2.0000
0.6731 -0.5939 0.3773 -0.0522 1.0000
0.0562 -1.3397 0.5245 -0.9733 1.0000
0.2794 -0.3836 0.3510 0.9792 2.0000
0.9732 -0.1859 0.4403 0.5024 1.0000
0.0008 -0.9598 0.9026 -0.0017 3.0000
-0.4762 -1.2683 0.9855 -0.0811 3.0000
0.0726 -0.5798 0.9338 0.7973 2.0000
-0.6139 -1.4514 0.1175 -0.3261 3.0000
-0.7334 -1.5483 0.2228 -0.3921 3.0000
-0.7589 -1.7069 0.1214 -0.7317 1.0000
0.2873 -0.5381 0.4919 0.6038 2.0000
0.2318 -1.0405 0.9817 -0.5063 1.0000
0.6666 -0.3288 0.8479 0.5821 2.0000
0.0803 -1.0474 0.2358 -0.3164 3.0000
0.0651 -1.1354 0.8942 -0.5035 3.0000
-0.9211 -1.8699 0.9469 -0.8956 1.0000
-0.4888 -1.2515 0.0197 -0.0244 3.0000
-0.0582 -1.0144 0.6611 -0.0504 3.0000
0.8007 -0.8768 0.9159 -0.8932 1.0000
-0.0749 -1.0832 0.4264 -0.1898 3.0000
-0.2782 -1.1241 0.0043 -0.0102 3.0000
-0.5783 -1.1009 0.5010 0.4528 3.0000
0.3625 -0.5407 0.9511 0.4953 1.0000
-0.0337 -0.9374 0.3885 0.0982 3.0000
0.0568 -0.8214 0.0730 0.2487 1.0000
0.7577 -0.9212 0.3595 -0.9397 1.0000
0.3006 -0.6627 0.5810 0.2919 1.0000
-0.4482 -1.3703 0.7660 -0.3597 3.0000
0.5037 -0.9663 0.0172 -0.7008 1.0000
0.3151 -1.1848 0.1901 -0.9599 1.0000
-0.4369 -1.0371 0.6689 0.4109 2.0000
0.4126 -0.8616 0.3495 -0.3300 1.0000
0.4689 -0.6211 0.2997 0.1612 1.0000
0.7210 -0.6624 0.4339 -0.2790 1.0000
-0.7492 -1.1523 0.2635 0.5636 2.0000
-0.7687 -1.8052 0.6151 -0.9503 1.0000
0.0015 -0.9339 0.6643 0.0585 3.0000
-0.1935 -1.0512 0.9590 0.0467 3.0000
-0.7537 -1.5039 0.8301 -0.2596 1.0000
-0.8547 -1.0938 0.1394 0.8452 2.0000
0.1306 -1.0129 0.7650 -0.3033 1.0000
-0.3076 -1.0802 0.6463 0.1336 3.0000
0.2207 -0.9708 0.6329 -0.3266 1.0000
-0.0503 -1.2045 0.7743 -0.5097 3.0000
0.6463 -0.8206 0.8148 -0.5508 1.0000
-0.3320 -0.9457 0.9190 0.4841 2.0000
0.8631 -0.2176 0.0077 0.5774 2.0000
0.5834 -0.2943 0.5694 0.7764 2.0000
-0.9291 -1.3720 0.4939 0.2898 2.0000
0.7556 -0.5571 0.6656 -0.0778 1.0000
-0.4925 -0.8552 0.1882 0.9158 2.0000
0.5171 -0.4596 0.0667 0.4767 1.0000
0.6982 -0.4023 0.7541 0.3655 1.0000
0.4883 -0.4450 0.5775 0.5502 1.0000
0.8315 -0.1655 0.3709 0.7432 1.0000
-0.6530 -1.2866 0.9817 0.1161 2.0000
0.1001 -0.8728 0.3742 0.0685 3.0000
0.5829 -0.2199 0.3977 0.9528 2.0000
0.1791 -0.9343 0.5539 -0.1839 3.0000
-0.4555 -1.4894 0.8587 -0.6309 1.0000
0.5309 -0.5131 0.8672 0.3317 2.0000
0.9219 -0.1949 0.7525 0.5508 1.0000
-0.0107 -1.1120 0.7174 -0.3452 3.0000
0.1054 -0.7502 0.8369 0.3507 2.0000
-0.5200 -0.8779 0.7141 0.8996 2.0000
-0.5329 -1.5226 0.3501 -0.6041 1.0000
0.3580 -0.3642 0.5200 0.9179 2.0000
-0.8456 -1.2108 0.0710 0.5568 2.0000
0.0042 -0.9594 0.0201 -0.0055 3.0000
0.9997 0.0226 0.8588 0.9583 2.0000
0.9760 -0.0777 0.8788 0.7537 1.0000
0.5935 -0.5205 0.7592 0.2290 1.0000
-0.0931 -0.9041 0.1085 0.2574 2.0000
-0.7497 -1.5855 0.7636 -0.4576 1.0000
0.0695 -0.8932 0.9430 0.0620 3.0000
-0.3224 -0.9695 0.7299 0.4148 2.0000
-0.4895 -1.2814 0.8518 -0.0940 3.0000
-0.6034 -1.3677 0.2638 -0.1427 3.0000
0.6328 -0.6445 0.6252 -0.1168 1.0000
0.0567 -0.8187 0.9318 0.2553 1.0000
-0.6466 -1.3920 0.3227 -0.1414 1.0000
-0.6783 -1.3755 0.4956 -0.0593 2.0000
0.3404 -0.9235 0.8092 -0.3777 1.0000
0.8724 -0.1780 0.0171 0.6579 2.0000
0.0244 -0.9495 0.3069 -0.0096 3.0000
0.2824 -0.7709 0.5033 0.0612 1.0000
0.4855 -0.7845 0.1074 -0.2470 1.0000
-0.5981 -1.1496 0.6823 0.3646 3.0000
0.8952 -0.6697 0.6763 -0.5330 1.0000
0.2658 -0.8784 0.0343 -0.1699 3.0000
0.5334 -0.3976 0.7169 0.6007 1.0000
-0.3257 -1.3631 0.2189 -0.5094 1.0000
0.7473 -0.2188 0.2783 0.7318 1.0000
0.6885 -0.8537 0.8584 -0.6862 1.0000
0.5782 -0.4209 0.5571 0.4848 1.0000
0.8939 -0.4572 0.9370 -0.0298 1.0000
0.1645 -1.1842 0.5078 -0.7536 1.0000
0.9908 -0.3232 0.9773 0.1543 1.0000
0.7541 -0.2749 0.3851 0.5903 1.0000
0.3557 -0.9129 0.9722 -0.3734 1.0000
-0.2800 -1.4378 0.5281 -0.7477 1.0000
-0.1649 -1.1781 0.8879 -0.2915 1.0000
-0.4920 -1.3116 0.2898 -0.1619 3.0000
0.1501 -0.8054 0.3396 0.1597 3.0000
0.3746 -0.9558 0.9358 -0.5004 1.0000
-0.0575 -1.0610 0.3606 -0.1612 3.0000
-0.4151 -1.6209 0.7625 -0.9962 1.0000
0.3633 -0.4116 0.1701 0.7989 2.0000
-0.5696 -1.4209 0.1811 -0.3141 1.0000
-0.0437 -0.9342 0.5445 0.1192 1.0000
-0.8091 -1.1807 0.4713 0.5782 2.0000
-0.9427 -1.3093 0.3847 0.4564 2.0000
-0.0481 -0.6470 0.4954 0.8027 2.0000
-0.8907 -1.3805 0.9613 0.2177 2.0000
0.9266 -0.3909 0.6062 0.0820 1.0000
0.1653 -0.8867 0.2744 -0.0528 1.0000
-0.0349 -1.0881 0.3560 -0.2560 1.0000
-0.4830 -1.1423 0.1345 0.2253 3.0000
-0.3020 -1.2567 0.6154 -0.2905 3.0000
0.6105 -0.8321 0.7182 -0.5291 1.0000
-0.9656 -1.3096 0.6507 0.4866 2.0000
0.4419 -1.0875 0.3991 -0.9025 1.0000
0.9122 -0.5289 0.3328 -0.2239 1.0000
-0.2510 -1.1310 0.1054 -0.0632 3.0000
0.3949 -0.4335 0.3696 0.7043 2.0000
0.0191 -0.9524 0.5997 -0.0090 3.0000
0.5728 -0.8537 0.5080 -0.5290 1.0000
0.3050 -0.8474 0.2738 -0.1499 1.0000
0.8358 -0.5167 0.0337 -0.0914 1.0000
0.6857 -0.2195 0.5133 0.8139 2.0000
-0.4840 -1.4645 0.4174 -0.5335 1.0000
-0.0544 -1.1563 0.9426 -0.3902 3.0000
-0.8753 -1.7560 0.3084 -0.6893 1.0000
0.0067 -0.8968 0.6985 0.1390 1.0000
-0.1167 -0.9755 0.3216 0.1210 3.0000
-0.4297 -1.1755 0.3871 0.0745 3.0000
-0.0845 -1.0195 0.9042 -0.0267 3.0000
-0.0378 -1.0765 0.5028 -0.2247 1.0000
-0.1575 -0.8556 0.4013 0.4593 2.0000
-0.1713 -1.0478 0.5331 0.0247 3.0000
0.9420 -0.0992 0.8137 0.7494 2.0000
0.0658 -1.2964 0.9980 -0.8842 1.0000
-0.0902 -0.7739 0.6675 0.5608 2.0000
0.0938 -1.1207 0.0341 -0.5078 1.0000
-0.7410 -1.6021 0.7501 -0.5088 1.0000
-0.8779 -1.6719 0.9727 -0.4872 1.0000
-0.4048 -1.3377 0.1301 -0.3419 3.0000
-0.6471 -1.3864 0.1639 -0.1275 1.0000
-0.2862 -0.8837 0.0679 0.5679 3.0000
-0.3547 -1.3400 0.0636 -0.4156 3.0000
0.7161 -0.1892 0.5254 0.8441 2.0000
-0.9143 -1.2803 0.3561 0.4860 2.0000
0.4935 -0.4863 0.8392 0.4456 2.0000
0.6948 -0.7308 0.9155 -0.4048 1.0000
-0.2578 -1.0390 0.0410 0.1630 3.0000
-0.2156 -1.2573 0.8574 -0.4095 1.0000
0.4201 -0.5541 0.3669 0.3855 2.0000
0.6113 -0.5693 0.3034 0.0898 1.0000
-0.0980 -1.0942 0.4630 -0.1844 3.0000
0.4508 -0.9967 0.5874 -0.7005 1.0000
0.7895 -0.2483 0.0234 0.6048 2.0000
0.8493 -0.5477 0.0142 -0.1828 1.0000
0.1954 -0.8088 0.7780 0.0900 1.0000
-0.4246 -1.2360 0.5727 -0.0751 3.0000
0.4185 -0.4765 0.5345 0.5708 2.0000
-0.6242 -1.4565 0.3326 -0.3239 3.0000
0.0116 -0.9155 0.5319 0.0882 3.0000
-0.9432 -1.3304 0.7800 0.4072 3.0000
-0.4054 -1.3141 0.5958 -0.2855 3.0000
0.8654 -0.5610 0.5142 -0.2362 1.0000
-0.8037 -1.8142 0.1178 -0.9239 1.0000
-0.0162 -1.2511 0.4462 -0.6659 1.0000
-0.3095 -1.0578 0.9799 0.1890 3.0000
-0.6325 -1.2868 0.2495 0.0878 3.0000
-0.0981 -1.2633 0.4942 -0.5832 1.0000
0.3406 -0.9462 0.8982 -0.4315 1.0000
0.6035 -0.4226 0.0674 0.4463 1.0000
0.5599 -0.7064 0.3315 -0.1639 1.0000
0.6088 -0.2366 0.7359 0.8780 2.0000
-0.3206 -1.3623 0.5661 -0.5144 3.0000
-0.2762 -1.2668 0.8381 -0.3494 1.0000
-0.5793 -1.3173 0.0255 -0.0566 3.0000
-0.1602 -1.1275 0.8935 -0.1786 3.0000
-0.8637 -1.3951 0.7346 0.1464 2.0000
0.1865 -0.9512 0.7119 -0.2339 1.0000
-0.4078 -1.3870 0.4216 -0.4541 3.0000
-0.4178 -1.5563 0.4657 -0.8400 1.0000
0.1315 -0.7800 0.5945 0.2450 2.0000
-0.9543 -1.6060 0.1122 -0.2280 2.0000
-0.7826 -1.1909 0.4613 0.5180 3.0000
-0.0252 -0.6765 0.1001 0.7021 2.0000
0.8689 -0.7921 0.3996 -0.7861 1.0000
0.6302 -0.3387 0.7372 0.6082 2.0000
0.9714 -0.7846 0.3046 -0.9078 1.0000
-0.6356 -1.7219 0.8059 -0.9347 1.0000
-0.9598 -1.6271 0.8677 -0.2704 3.0000
-0.7401 -1.7073 0.9633 -0.7581 1.0000
0.7854 -0.6965 0.8195 -0.4470 1.0000
-0.9349 -1.6531 0.0500 -0.3654 1.0000
-0.1423 -1.0381 0.1926 0.0081 3.0000
-0.1164 -1.1167 0.4335 -0.2126 3.0000
-0.5416 -1.3548 0.2808 -0.1964 3.0000
0.4802 -0.5769 0.1452 0.2501 1.0000
-0.8290 -1.8372 0.6207 -0.9438 1.0000
-0.2677 -1.0037 0.2180 0.2598 3.0000
-0.8071 -1.2769 0.9940 0.3485 3.0000
-0.2231 -1.0053 0.5836 0.1955 3.0000
-0.3997 -1.5562 0.6983 -0.8645 1.0000
-0.0314 -1.1481 0.9810 -0.4021 1.0000
-0.7853 -1.2589 0.7655 0.3611 3.0000
-0.4072 -1.3316 0.5491 -0.3243 1.0000
-0.6980 -1.2192 0.2225 0.3362 2.0000
-0.6280 -1.2404 0.0774 0.1909 3.0000
0.9732 -0.0088 0.1597 0.9202 2.0000
0.3823 -0.3595 0.4924 0.8959 2.0000
0.7815 -0.5819 0.8058 -0.1715 1.0000
-0.9074 -1.2331 0.5370 0.5881 2.0000
0.1323 -0.7668 0.3772 0.2749 1.0000
-0.6713 -1.4310 0.3349 -0.1997 1.0000
-0.1120 -1.1434 0.8436 -0.2815 3.0000
-0.2211 -1.0071 0.5748 0.1883 3.0000
0.3645 -1.0858 0.7257 -0.7935 1.0000
-0.2432 -1.1973 0.0891 -0.2303 3.0000
0.0220 -1.3447 0.5569 -0.9386 1.0000
0.2219 -1.1034 0.9020 -0.6410 1.0000
0.1992 -0.8519 0.2384 -0.0168 1.0000
0.0250 -0.9798 0.4071 -0.0819 3.0000
-0.6081 -1.0444 0.9434 0.6265 2.0000
0.5246 -0.4574 0.6647 0.4715 1.0000
0.0234 -0.8952 0.8660 0.1200 1.0000
0.7192 -0.1289 0.7692 0.9821 2.0000
0.5188 -0.5157 0.5753 0.3419 1.0000
-0.6724 -1.5203 0.1154 -0.4090 1.0000
0.1784 -0.7592 0.4572 0.2301 1.0000
0.3474 -0.5886 0.5571 0.4030 1.0000
-0.1701 -1.1873 0.8577 -0.3061 3.0000
0.6541 -0.7559 0.3755 -0.4089 1.0000
0.0209 -1.1269 0.1540 -0.4233 1.0000
-0.6049 -1.2607 0.3725 0.1118 2.0000
0.0303 -0.7744 0.1077 0.3956 2.0000
-0.5006 -1.2631 0.6780 -0.0357 3.0000
0.1179 -0.6239 0.6605 0.6316 2.0000
0.3111 -1.1595 0.5875 -0.8948 1.0000
-0.2121 -1.0902 0.8704 -0.0200 3.0000
-0.9279 -1.4824 0.7009 0.0278 2.0000
-0.0328 -1.3381 0.1692 -0.8485 1.0000
0.8865 -0.8341 0.3371 -0.9091 1.0000
-0.8730 -1.7311 0.0048 -0.6337 1.0000
0.8191 -0.1661 0.2831 0.7586 1.0000
0.8397 -0.3722 0.6908 0.2443 1.0000
-0.2957 -1.0691 0.5643 0.1435 3.0000
0.4051 -0.4155 0.2968 0.7330 2.0000
0.5451 -0.6844 0.5135 -0.0919 1.0000
-0.7816 -1.5989 0.4372 -0.4459 1.0000
-0.2882 -0.8820 0.5198 0.5748 2.0000
0.8729 -0.1980 0.4024 0.6100 1.0000
0.0486 -0.9919 0.6154 -0.1424 1.0000
0.9272 -0.5371 0.4164 -0.2638 1.0000
0.0310 -1.2185 0.5122 -0.6530 1.0000
-0.9936 -1.2247 0.0284 0.7250 2.0000
-0.8617 -1.0323 0.3207 0.9997 2.0000
-0.4687 -1.2500 0.5884 -0.0481 3.0000
0.5712 -0.8087 0.7819 -0.4206 1.0000
0.9263 -0.4432 0.7995 -0.0409 1.0000
-0.2627 -0.8289 0.4124 0.6655 2.0000
-0.6729 -1.4039 0.7977 -0.1337 2.0000
-0.4430 -0.9686 0.6296 0.5808 2.0000
-0.9653 -1.5726 0.3653 -0.1341 1.0000
